25,55320
10,13687
44,45159
38,72650
96,38732
16,07730
5,55971
38,57270
86,53208
11,60140
44,68720
12,85623
40,12529
47,61238
31,42025
24,60402
58,77502
43,46340
38,58785
8,27871
37,05482
39,26367
20,13318
26,21673
22,60510
26,66754
28,98403
36,46517
58,23603
51,96115
8,30619
28,22652
41,20839
25,43728
53,55104
11,30521
14,68801
46,76120
11,44824
45,55108
43,52555
17,74736
38,50126
17,22729
37,35006
194,19131
18,67673
8,29474
31,70560
26,06020
26,57560
27,97419
27,60469
41,42735
53,15522
19,90631
9,18246
34,32464
17,68924
27,72648
15,25231
31,93630
17,74632
20,62601
11,38362
28,69335
20,60476
40,37075
7,45332
25,13783
13,84052
49,32837
28,84622
26,50007
38,30521
20,72450
10,56447
37,77381
32,96708
17,19475
38,36078
6,15952
15,07764
12,80621
18,12463
24,62917
47,29142
66,39701
32,20866
11,64638
33,98648
58,36203
11,30436
46,73768
15,98358
39,26554
7,67530
7,39192
9,64620
42,37306
27,42025
16,19933
31,19094
23,73049
8,67645
187,19137
36,95301
35,07054
34,97541
35,54904
68,44110
21,56725
16,58337
63,17547
16,93648
21,30222
41,54648
42,35005
31,41539
29,05730
20,34669
9,41010
107,64155
53,30203
17,37191
19,86044
362,60621
35,60901
37,40810
6,37737
13,43036
46,57533
17,17023
346,60654
25,50847
23,50118
16,07111
13,78336
67,24945
49,73105
38,53010
20,31759
21,75852
14,81224
37,43402
29,49801
19,21087
36,81501
17,47858
13,65275
5,18446
40,76118
43,42715
38,14069
13,35072
21,73044
65,53216
21,15552
5,45661
23,36603
33,49093
12,25107
42,32669
14,24620
40,21133
9,13367
38,41342
28,58740
28,07419
102,95826
19,97326
44,13104
13,23481
57,27104
16,61234
31,13073
29,70057
46,73718
35,25984
19,30281
36,61951
68,98121
33,36540
5,83802
45,18640
14,32714
33,54835
33,05086
33,38588
17,59353
20,49668
14,41175
28,12446
16,06357
39,18401
30,31620
23,83283
11,15120
27,31057
31,52327
8,51051
22,24572
44,07080
82,33186
18,47339
34,44133
44,58761
27,29922
38,72644
22,26059
47,45213
33,84010
50,44646
46,81430
32,72355
44,59085
37,62254
41,66830
25,48858
40,04109
25,83648
32,37059
32,69134
46,21102
38,08835
43,40391
15,65605
44,47847
83,85749
48,80929
32,61442
9,13608
42,70712
49,55414
234,77036
28,50256
24,67850
30,50147
36,52077
164,60647
9,11722
35,21769
32,20882
45,96115
37,80136
57,97233
22,61325
43,27107
34,32565
34,83127
44,30292
8,76643
24,06896
24,62376
38,93066
62,43604
9,04064
40,58460
209,19126
34,67860
19,29730
56,32312
25,23356
33,60966
75,30528
10,10591
42,53404
13,51031
36,25969
8,25666
33,32234
22,60554
64,79903
18,44689
40,67747
6,97857
42,76849
19,22130
93,43215
24,55424
16,97389
53,60541
34,36330
10,37329
36,42076
37,63963
18,21051
30,62831
15,40056
23,31789
14,49885
31,96034
31,51575
24,81040
44,43906
33,40342
7,39066
165,48202
16,54027
8,17368
12,55937
34,98115
38,65570
41,53968
7,71277
27,07624
33,66866
10,59837
30,44628
35,64779
21,85922
14,72611
49,21738
37,88023
19,12175
11,34761
15,75009
18,67874
7,91906
29,49241
36,56208
32,68781
17,59523
10,38030
64,06851
21,27041
